"id","name","name_en","url"
"1eb5d85e-418f-4482-89dd-25976176f0e7","Встреча","Meeting conduct","meet"
"50558a56-e136-4b47-a187-97241ade0546","Непрерывный менеджмент","Сontinuous management","cm"
